gene	conMean	treatMean	logFC	pValue	fdr
TSHZ3	1.62474083316258	3.62919265701559	1.15943903656616	6.7078980825629e-98	2.67546487934222e-95
GIMAP8	2.20382747193764	4.47751483964365	1.02268692767096	6.56633639120085e-54	1.98320908242928e-52
CD200R1	0.28317161667706	0.613868537305122	1.116253062986	2.13545385902604e-39	3.33627762468342e-38
VMO1	2.29440571599109	8.53378811783964	1.89506576755628	1.47316312389978e-05	2.98306183712183e-05
PDE1A	0.441914023273942	0.927556740400891	1.06966982390221	1.70671023671107e-55	5.49755285511611e-54
AC119396.1	0.206314130628062	0.425781842432071	1.04527179102564	2.2057463077309e-10	7.03649157354475e-10
SCARF2	2.44942172783964	5.31220853986637	1.11687059275354	1.21214309549359e-58	4.50352671725714e-57
VCAN	16.6314375514477	46.9508294298441	1.49723777014623	8.91472278388015e-95	2.74755808345906e-92
ARHGAP6	0.351762883648107	0.725600108151448	1.04457140640261	1.00681601892912e-60	4.24019628344652e-59
CSF1R	7.94362961091314	16.1475663140312	1.02344648428882	1.5117527411299e-56	5.02472522609377e-55
FHL5	0.526479977389755	1.15424125942094	1.13249423737734	1.79522753141467e-36	2.43939491726559e-35
AL845331.2	0.0483437269710468	0.0991419848552339	1.03616744300634	6.70726792169962e-11	2.23153239171169e-10
ACSM5	0.284731592187082	0.582227089777283	1.03197939138516	1.6826551513889e-38	2.51028454433277e-37
FGB	2.46710459044098	9.91815902953229	2.00725347941332	0.0122248923173286	0.0171527951076351
CDSN	0.212895947772828	0.447330048062361	1.07119118030917	5.16334461245227e-06	1.10111835649419e-05
CDK15	0.117648247311804	0.297104227193764	1.33648930407364	1.09123298912774e-63	5.22904966980964e-62
PRND	0.599151642432071	1.44264260907572	1.26772084658122	9.10523832502394e-29	8.80086506954025e-28
SLAMF6	1.48988605238307	3.38580377416481	1.18429636709902	1.17693721976913e-28	1.13274986779909e-27
GFPT2	2.86326004806236	5.89686485746102	1.04228942602649	3.24848292607962e-79	3.33732401216407e-77
CYR61	48.5578951336303	108.231460469933	1.15634212862562	1.37393252439066e-41	2.38870499528997e-40
GIMAP6	3.67033517193764	7.60057363608018	1.05019649201727	3.7752043042398e-58	1.36521454852789e-56
SPON1	6.47003604053452	17.52538167951	1.43760021085086	1.21971612131363e-86	2.04204571865854e-84
HMCN1	1.11808339648107	3.55597986191537	1.66921935291383	4.72758942210704e-87	8.21933848117866e-85
FMO1	1.46940021601336	3.29119937728285	1.16338603418467	3.46523093619848e-44	6.89032210055536e-43
COL6A6	0.172190317064588	0.439056002436526	1.35040095339395	1.64187461406613e-41	2.84724573418808e-40
CLDN5	1.8811068545657	4.1281923077951	1.13392837669222	8.17302496687206e-24	6.32977678902067e-23
HTRA3	18.7481717244989	48.628876674833	1.37506335135895	4.81270856345038e-63	2.23510756263529e-61
SIGLEC6	0.158846692808463	0.400333472616926	1.33356719372823	1.95324592125241e-44	3.91833845238224e-43
EMX2	0.228734655474388	0.527120587416481	1.2044580752774	7.36697546165249e-60	2.99112437830747e-58
GLYAT	0.0633301894053452	0.224313990721604	1.82455430650077	5.71178212969538e-11	1.90970112082838e-10
CD3G	0.814184418681514	1.83830076391982	1.17494530738734	3.70903432910608e-31	3.94805451624863e-30
F10	0.5458429	1.13570166124722	1.05702621000519	2.18686293592573e-39	3.41266378297915e-38
MN1	1.16483372572383	2.33575525679287	1.00376508287268	2.98674902412133e-59	1.14416111627428e-57
FAM110D	0.917445123028953	1.8357115018931	1.00064557357178	4.2311099841499e-21	2.85605189124225e-20
C7	1.99564515230735	6.47373839599109	1.69774385095709	6.31225938060967e-27	5.66515879950018e-26
ITGBL1	2.23078867930067	6.59161266815145	1.56307761555939	1.14625110384337e-83	1.63624328623368e-81
LGI2	0.544322246458797	1.1676354518931	1.10105701455477	2.98558346633217e-54	9.09831401953496e-53
TIMD4	0.247831262875278	0.567763690193764	1.19593239942294	7.19876408997385e-17	3.76775144053012e-16
MYL3	0.125048932106904	0.430806431454343	1.78454705061162	3.38851568759981e-80	3.70577913222105e-78
ANGPTL1	0.418631735414254	1.4247930836971	1.76699883044749	5.24983446380382e-69	3.19251144231586e-67
GREM1	2.13637691157238	5.63388608062361	1.39896419433585	1.17151942863962e-54	3.67754050272729e-53
RBMS3	0.859979761625835	2.06501097060134	1.26377483254828	1.00439528172202e-79	1.06410971995565e-77
SLIT2	1.1559203810245	2.79896802004454	1.27585297386407	1.27699202192389e-76	1.15448592062066e-74
DACT1	2.16543529955457	5.82311263006681	1.42713345634564	1.60965118268516e-94	4.74532167138988e-92
NEFM	0.0537640442828508	0.128677941561247	1.25905119184916	4.79061459570141e-38	6.96307872800716e-37
